#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:twin_alignment_13" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:twin_alignment_13" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:twin_alignment_13" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.twin_alignment_13" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:twin_alignment_13" name="distribution" x="@birthRate.t:twin_alignment_13">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:twin_alignment_13" name="distribution">
#            <parameter id="ucldStdev.c:twin_alignment_13" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.1" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@twin_alignment_13" id="treeLikelihood.twin_alignment_13" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:twin_alignment_13">
#            <siteModel id="SiteModel.s:twin_alignment_13" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:twin_alignment_13" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:twin_alignment_13" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:twin_alignment_13" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:twin_alignment_13" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:twin_alignment_13" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:twin_alignment_13">
#                <LogNormal S="@ucldStdev.c:twin_alignment_13" id="LogNormalDistributionModel.c:twin_alignment_13" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.2" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="12" id="rateCategories.c:twin_alignment_13" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:twin_alignment_13" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	YuleModel	birthRate
0	-9389.05927368224	-9378.3532177695	-10.706055912740412	-9378.3532177695	5.275449001101547	0.1	1.134924497324455	0.012664191219598038	0.11234594336215005	-11.525420057861215	1.0
1000	-6704.3997324394995	-6701.523234398324	-2.8764980411748615	-6701.523234398324	1.0752001936944189	0.3078562456563481	0.8868749796803262	0.11963505531927889	0.396277643274921	-2.633890758478975	1.8756540841726845
2000	-6710.900011602671	-6707.409970481509	-3.4900411211621756	-6707.409970481509	1.1433197069417873	0.37797427235351577	0.8765235843663616	0.142121202258003	0.38978371003869067	-2.969359785698776	1.6301072257207203
3000	-6707.337952399713	-6705.124151899814	-2.213800499898775	-6705.124151899814	0.847516960330249	0.34348097901478447	1.0543638737234742	0.15331562447860433	0.3654964032348454	-1.827497087197179	1.756160962184363
4000	-6705.898690319859	-6703.065069554701	-2.833620765158202	-6703.065069554701	0.8284995981034871	0.5076099319668792	1.0304584629877713	0.11238432865526243	0.3507966812293274	-1.837724149436641	1.6634502765542611
5000	-6706.908221110083	-6702.410616331513	-4.497604778570597	-6702.410616331513	0.9079034217436993	0.44940779443797696	0.9555860449174454	0.1822798090029784	0.48192152788965403	-3.7101783834371216	3.772581616959598
6000	-6705.362588432856	-6702.477091115265	-2.8854973175915717	-6702.477091115265	0.7713178595507281	0.41124134821919744	0.995424786638797	0.20156639301733212	0.45964166209613977	-2.2388699495942705	3.304741744123105
7000	-6702.636933899592	-6701.3133017294185	-1.323632170173672	-6701.3133017294185	0.6271708681341172	0.4038699926984134	1.1179861884275364	0.20316835235610559	0.43775814533258467	-0.7046339616579318	2.8758828084682846
8000	-6702.118252454578	-6700.602759134504	-1.5154933200745302	-6700.602759134504	0.6689407744162558	0.3998177074757992	1.1932611459197682	0.1495303526925218	0.3651214590538448	-0.9117487839341281	2.0447376206981307
9000	-6702.628436512842	-6701.514181852125	-1.1142546607171884	-6701.514181852125	0.6934232428613317	0.3354438072021273	1.1434648957764277	0.15609795758482317	0.36641273269077607	-0.7598974953055002	2.4629085138520304
10000	-6705.054028454867	-6703.310503650949	-1.7435248039185725	-6703.310503650949	0.697452838385697	0.30979113523176754	1.1128747317897727	0.15291810291444213	0.41949003604328866	-1.4929664607957642	3.2459140378161875
11000	-6702.633856140358	-6701.853630885551	-0.7802252548069204	-6701.853630885551	0.6148274654561259	0.29757369144791435	1.0993668946975244	0.08437173014787666	0.315864390230228	-0.5801829696005645	2.2410799378950785
12000	-6705.9094556309865	-6704.1278256982105	-1.781629932776006	-6704.1278256982105	0.6948183198501107	0.32677852069684477	1.1797597936569448	0.13932351687798564	0.3902984261579053	-1.4620122082275153	3.724005783599356
13000	-6704.6157871729665	-6702.694120742265	-1.9216664307015598	-6702.694120742265	0.8522889743901159	0.28305033531617607	1.1457142810905365	0.07340950164236162	0.26842793890173106	-1.782690462236896	1.5190735021270334
14000	-6704.135293075905	-6700.658359345249	-3.4769337306559214	-6700.658359345249	0.9192112409688606	0.29125626280975336	0.9072155591114942	0.061158254657311686	0.27296688882333847	-3.3033129893504154	3.585785054094612
15000	-6708.606169213272	-6706.071620181802	-2.534549031469356	-6706.071620181802	1.017433609057516	0.24192964132957434	0.98984629462942	0.04283806364044028	0.2207243876230194	-2.575519624604521	2.5589516929234186
16000	-6707.629655226024	-6706.186415085299	-1.443240140724422	-6706.186415085299	0.7551675865224117	0.3453546367367448	1.1553040856162828	0.13987417482619022	0.3917023737401885	-1.0495259651532942	2.410131705510486
17000	-6705.076700487752	-6703.467613919002	-1.6090865687492357	-6703.467613919002	0.728771753666073	0.4034390340104446	1.2148761348861297	0.3302293233903769	0.5876251173186331	-0.9917083623706331	2.2136124585360726
18000	-6706.974527732223	-6705.895588427452	-1.0789393047707845	-6705.895588427452	0.6526838341370174	0.32718556145342825	1.1654322481074808	0.19970954808409155	0.41814546956677373	-0.7576826244711241	2.7491055832333195
19000	-6704.8970398436995	-6702.948006375189	-1.9490334685108008	-6702.948006375189	0.6281830416577596	0.6054859765458724	1.3269245807213519	0.36740382974176067	0.5642672429970793	-0.6156728964992482	2.0155180040231357
20000	-6701.833710223241	-6699.641490898007	-2.1922193252341895	-6699.641490898007	0.7636272330293072	0.3523212567699282	1.1005600530918567	0.10526379139415547	0.3417481329841928	-1.7710682248666592	3.784084618479115
21000	-6708.253095117475	-6705.722410016871	-2.5306851006036792	-6705.722410016871	0.8918495369662004	0.39070203338359016	1.0354343957251377	0.16855088862575213	0.4068640641777121	-1.9614282720378386	2.846571413413645
22000	-6701.32485333078	-6700.386989758977	-0.9378635718026224	-6700.386989758977	0.7869319007923787	0.20825866242564237	1.0860864699714947	0.057482768285473274	0.2370725199753861	-1.1359995073573415	2.4466555035206694
23000	-6702.865432473943	-6701.5299048960505	-1.3355275778918667	-6701.5299048960505	0.9573199664193981	0.13103444524799596	0.953707258049035	0.013686769334897153	0.1208046205899414	-1.9491869106209698	2.128821521731664
24000	-6707.4809013067725	-6705.403003918322	-2.0778973884506695	-6705.403003918322	0.915740287083241	0.17574556913030198	0.9470371915195873	0.022562755896060053	0.1630448482497074	-2.439318354133429	2.9197103536949163
25000	-6708.916513084153	-6706.890949389502	-2.025563694651298	-6706.890949389502	0.8850553767641909	0.2838148634463138	0.9138812596818546	0.04346347693826353	0.22002307588153514	-1.883343940688422	2.1118674843824348
26000	-6709.331331700678	-6707.463762809143	-1.8675688915345052	-6707.463762809143	0.9399968739277129	0.1111098850004484	1.0169179545458338	0.006708261532820914	0.08235262263738431	-2.6093390517320265	2.966755846077811
27000	-6702.106181465035	-6700.3397130174735	-1.7664684475608925	-6700.3397130174735	0.9884193159012257	0.17414883484829194	0.9771642357266281	0.03591815600145619	0.1924680654724464	-2.136272517159889	2.0656714502958926
28000	-6703.926911669956	-6701.097656672292	-2.829254997664016	-6701.097656672292	0.903263927338566	0.20489811208552633	0.9567878213688433	0.041038411761466255	0.20256564554840528	-3.0436802923241197	3.75426487496068
29000	-6705.8848592349495	-6703.793169832194	-2.091689402755856	-6703.793169832194	1.0132677557720915	0.11458739737387368	0.9549374464053655	0.006565347372858188	0.08412363020880398	-2.8101650623350904	1.160755594681964
30000	-6702.529277115352	-6701.94807760576	-0.5811995095917293	-6701.94807760576	0.8396538165157221	0.0747999287836585	1.0100451822001781	0.00756839175083017	0.08820658924658506	-1.600228339090811	2.6292991476372696
31000	-6706.616544988889	-6704.484241373665	-2.132303615223421	-6704.484241373665	1.0327810877034942	0.20202981099636586	0.9803307328590783	0.016044991191835608	0.12405750871770692	-2.3607300414427463	1.5052323263418683
32000	-6707.454484432838	-6706.774194669528	-0.6802897633101574	-6706.774194669528	0.8789073946925454	0.06845580748919772	1.0019810385589978	0.005880357478379301	0.07522183508871394	-1.7567351695858924	2.8764197139686254
33000	-6704.625597454862	-6703.656909025129	-0.9686884297337708	-6703.656909025129	0.8942670614222272	0.1267124361791322	0.9813773575062184	0.024071208556844678	0.15190471711665485	-1.6091066974371344	1.9088441738488156
34000	-6705.306603603501	-6702.989332620276	-2.3172709832241756	-6702.989332620276	1.1265693385879367	0.1176253123805685	0.9087184176899289	0.006010511694214388	0.08185617810734713	-3.015744880812875	1.1311907224538889
35000	-6704.748511613135	-6704.30348827221	-0.4450233409243233	-6704.30348827221	0.8646606488988916	0.09052422568951735	1.002036366521621	0.008023703969000729	0.08992588935115038	-1.3350337289743703	1.9559675493694706
36000	-6705.055747958326	-6703.411185623421	-1.6445623349048253	-6703.411185623421	0.8543787917370237	0.34551314348183554	1.1393123919021626	0.06795966836456181	0.23303209924646487	-1.2502218511449246	1.9681395324238613
37000	-6710.542091239243	-6707.669977657425	-2.8721135818175223	-6707.669977657425	1.0175237444589336	0.28075398855818534	1.03833944988727	0.07660596316185915	0.27456991950612114	-2.7429009593675833	3.2377931643067765
38000	-6704.439724387631	-6704.599655301219	0.15993091358831069	-6704.599655301219	0.8501181698042998	0.01924137332342806	0.9997866942537065	2.6343822342023176E-4	0.01615285808495051	-1.629687237165312	2.837600515211309
39000	-6703.884413167244	-6703.696410500797	-0.18800266644626484	-6703.696410500797	0.8764852217367491	0.043406489617348214	1.0211614440957906	9.679181851013841E-4	0.030912367251515808	-1.5397881436442553	2.3735908088512523
40000	-6702.858500784923	-6701.529248818502	-1.3292519664211861	-6701.529248818502	0.8918419769186664	0.20940427407143464	1.019880550236285	0.0442856119991566	0.20871641612419062	-1.5218624559076792	1.9813565728615163
41000	-6703.659899730064	-6701.317400510894	-2.342499219169951	-6701.317400510894	0.871146114028218	0.10557454149694977	0.9848367627716212	0.01683231767983251	0.13163111410964554	-3.1222911506477455	4.120856600100201
42000	-6705.415744367147	-6706.179136548794	0.7633921816471134	-6706.179136548794	0.8449222418551984	0.007916173277320934	0.9988985705138964	6.200744686145889E-5	0.00789649077208602	-1.4647873706172012	2.0500894007054904
43000	-6704.233711203964	-6703.685185084763	-0.5485261192004582	-6703.685185084763	0.9238020938090441	0.019531420650932593	0.9869840788460628	1.305754948546186E-4	0.011547451756086043	-2.3304964353026105	1.2590682500107837
44000	-6704.660727267796	-6704.304935835871	-0.3557914319247599	-6704.304935835871	0.949694634778759	0.011982383042910624	1.003790314066224	1.53668043506355E-4	0.012390844857017908	-2.382474252725444	2.936796211101384
45000	-6704.519693947836	-6703.678734382231	-0.8409595656049982	-6703.678734382231	0.9252760917828933	0.023386801504548003	0.9945267585030956	7.434652203998013E-4	0.02740982335949667	-2.5298947832554974	3.3332416333153363
46000	-6704.161644474437	-6702.97855979476	-1.183084679676162	-6702.97855979476	0.9748616054422679	0.10625019149932947	1.0311482094226376	0.00857929828441484	0.09128624899017461	-1.9581703769571597	2.456895638525705
47000	-6702.286805003454	-6700.012398043053	-2.274406960401011	-6700.012398043053	1.0393037177474898	0.23090477792390776	0.9453862138104353	0.04667020166551221	0.23499088038293672	-2.3657197732428714	1.5162793927286145
48000	-6705.013373354569	-6703.240452122162	-1.772921232406951	-6703.240452122162	0.9043846228764197	0.23154160112981104	0.9942615801966495	0.020692920298604933	0.15139007834430843	-1.861298521092132	1.7763866578169278
49000	-6708.503348130612	-6705.314161418629	-3.189186711983283	-6705.314161418629	1.1123270484730294	0.26684702059764404	0.8690182650511037	0.033463650163656114	0.20083113078362347	-3.119779119737385	1.114903495071234
50000	-6706.797184415158	-6702.415508539565	-4.381675875592736	-6702.415508539565	0.7595921981520275	0.11392148751450772	1.1173779427849433	0.01567493588484169	0.1191469629218369	-5.104578570865133	6.41654371807382
51000	-6702.464548876597	-6701.227994127251	-1.2365547493460036	-6701.227994127251	0.8480397131245728	0.20823223465732393	1.0940390616273645	0.03252669682196082	0.16734867870954498	-1.4348183135571562	2.9172395731013836
52000	-6704.381873516026	-6702.271533455674	-2.1103400603519473	-6702.271533455674	0.8411521580639645	0.10923848432166007	1.0424500525071867	0.011874491815935905	0.10514535504325054	-2.864830925113041	4.389627774877585
53000	-6704.605817453491	-6703.543701536141	-1.0621159173495869	-6703.543701536141	0.9709111816385525	0.08458542790113148	0.9571119820678153	0.004725242916824388	0.06949773390127807	-1.9989176382871932	1.7232670891881587
54000	-6704.373107444641	-6703.846817793707	-0.5262896509352397	-6703.846817793707	0.9465856901198486	0.015174038785427934	1.0064573281494125	1.113161318537878E-4	0.010474707182711781	-2.4358923940720727	2.998383864187494
55000	-6703.591891856661	-6703.152271502252	-0.43962035440905556	-6703.152271502252	0.9297528662732101	0.03773371700289805	0.989660868140389	0.0014680293281135735	0.038189709011898144	-1.8707411932085938	2.452699065699676
56000	-6703.2302603086155	-6701.631009844447	-1.59925046416837	-6701.631009844447	0.9595592124166002	0.17674210999108564	0.9951252080715701	0.02672558757110531	0.16745145593298597	-1.9554587404957449	2.339564092473924
57000	-6709.377069285612	-6708.934761598319	-0.4423076872933045	-6708.934761598319	0.8673820051691576	0.011725682488786499	1.0035640590692831	2.0476941265071727E-4	0.014280837377884444	-2.479633083947466	3.385114261477852
58000	-6704.219865987227	-6703.201105746575	-1.0187602406521432	-6703.201105746575	0.9444867515430152	0.03320127327590565	0.981229647317456	0.001258286725778281	0.03573725880385882	-2.520664684882962	1.1785384756018533
59000	-6701.104015497293	-6702.585661996499	1.4816464992057985	-6702.585661996499	0.9298023183891769	9.74658290856312E-4	1.0000221003211416	8.48826943481961E-7	9.214950274836274E-4	-1.7290522253202396	2.3276901305114914
60000	-6708.317874155842	-6708.212265951143	-0.10560820469901744	-6708.212265951143	0.8792349884685754	0.02416239598309083	0.9976253612933368	3.0989568852795473E-4	0.01747069575373776	-1.777491659633383	3.0325181128389245
61000	-6700.72953688925	-6701.992043498798	1.2625066095480517	-6701.992043498798	0.9313027647649029	0.0014358824914642479	1.0005902100480837	1.9649967127151336E-6	0.0014012432071179937	-1.7686033569479558	2.2903833672103056
62000	-6705.257916815053	-6703.409190066269	-1.8487267487841699	-6703.409190066269	0.9402489205111346	0.03347155183960061	0.9997900529752374	8.207313359581765E-4	0.02878401497377932	-3.3461907090902065	0.8838478672377788
63000	-6702.419195249219	-6705.821839284505	3.402644035285119	-6705.821839284505	0.9475134459763299	1.891103843170585E-5	1.0000044132694723	3.85196937801135E-10	1.9626506848165805E-5	-1.625611162801491	2.1977034171524124
64000	-6700.244690382061	-6703.410023372352	3.165332990290892	-6703.410023372352	0.9614440164090641	1.655457387212921E-5	1.0000110546690066	1.3360111535738422E-10	1.1558491718698655E-5	-1.9241999594340626	1.634202658885358
65000	-6701.1177576925875	-6703.596283298753	2.4785256061655563	-6703.596283298753	1.041835512673963	1.2479426493668348E-5	0.9999905994739222	1.4034938062936248E-10	1.1846990876003112E-5	-2.741118317121763	2.8785847605963197
66000	-6707.571523591358	-6707.800904765337	0.22938117397916624	-6707.800904765337	0.9734210654831421	0.004544244420187707	1.0020657055118438	9.968000393316427E-6	0.0031523598296886693	-2.2631711128998933	1.461568295410059
