#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:twin_alignment_11" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:twin_alignment_11" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:twin_alignment_11" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.twin_alignment_11" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:twin_alignment_11" name="distribution" x="@birthRate.t:twin_alignment_11">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@twin_alignment_11" id="treeLikelihood.twin_alignment_11" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:twin_alignment_11">
#            <siteModel id="SiteModel.s:twin_alignment_11" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:twin_alignment_11" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:twin_alignment_11" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:twin_alignment_11" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:twin_alignment_11" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:twin_alignment_11" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:twin_alignment_11" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
0	-11359.467585221026	-11352.976184551402	-6.491400669622879	-11352.976184551402	1.9988220373562355	-6.491400669622879	1.0
1000	-6793.586631195468	-6791.797731211296	-1.7888999841719753	-6791.797731211296	0.8570613286218984	-1.7888999841719753	2.1556925869677004
2000	-6789.772472974994	-6787.887976055621	-1.8844969193729733	-6787.887976055621	0.90845998115052	-1.8844969193729733	2.1582481913698466
3000	-6792.10922818756	-6789.598108359708	-2.5111198278522786	-6789.598108359708	0.9339530846732004	-2.5111198278522786	2.6991441828187246
4000	-6792.1020061523795	-6789.419240360141	-2.6827657922390045	-6789.419240360141	0.9982342728906924	-2.6827657922390045	2.8210975418321755
5000	-6790.372437564152	-6788.462793789247	-1.9096437749047999	-6788.462793789247	0.8937745244646854	-1.9096437749047999	2.4642607612370457
6000	-6791.688600321154	-6790.051912757582	-1.636687563572266	-6790.051912757582	0.8429807476784124	-1.636687563572266	2.323873462918191
7000	-6793.709141269075	-6791.147987333518	-2.5611539355572353	-6791.147987333518	0.930122175758882	-2.5611539355572353	1.2254576879924624
8000	-6793.941768082656	-6791.8219486059215	-2.1198194767345226	-6791.8219486059215	0.9517068259097431	-2.1198194767345226	1.73011759461861
9000	-6790.893819314716	-6788.921344617569	-1.9724746971469909	-6788.921344617569	0.9120670452411384	-1.9724746971469909	2.4563319584003565
10000	-6792.97573297131	-6790.316900219755	-2.658832751555505	-6790.316900219755	1.0541244412098558	-2.658832751555505	2.3054976381192094
11000	-6793.698291460972	-6791.960454167287	-1.7378372936844775	-6791.960454167287	0.875009185886778	-1.7378372936844775	1.849210864541304
12000	-6796.364011739714	-6792.885296474712	-3.4787152650024358	-6792.885296474712	0.8445594294149034	-3.4787152650024358	3.9195114529053505
13000	-6794.526288530115	-6793.047291366471	-1.4789971636448478	-6793.047291366471	0.7783748050577233	-1.4789971636448478	1.666671098761739
14000	-6795.480611020768	-6792.6873517190925	-2.793259301676207	-6792.6873517190925	0.887044000808565	-2.793259301676207	3.461435819614785
