Sample	posterior	ESS(posterior)	likelihood	prior
0	-9095.884058429254	N	-9088.121046047538	-7.763012381716667
1000	-6707.716572855076	2.0	-6704.8919585553385	-2.8246142997374357
2000	-6705.514343086253	3.0	-6704.171926245719	-1.3424168405333194
3000	-6708.105704963283	4.0	-6706.186166259675	-1.9195387036079627
4000	-6705.964053172348	5.0	-6704.00997707744	-1.9540760949078984
5000	-6704.42965455443	6.0	-6702.736614168802	-1.6930403856285647
6000	-6704.691676256336	7.0	-6702.573166576013	-2.118509680322988
7000	-6705.646977003632	8.0	-6703.718352562557	-1.9286244410752174
8000	-6705.3354850311325	9.0	-6703.358104026338	-1.9773810047945477
9000	-6704.972045526796	5.7	-6703.2254418132	-1.7466037135964274
10000	-6707.575023892972	8.5	-6706.208024034458	-1.366999858514232
11000	-6706.789286930138	8.8	-6704.107646560665	-2.6816403694731417
12000	-6707.800198836179	6.9	-6703.5958845576815	-4.204314278497831
13000	-6704.538521736926	10.7	-6702.885240020533	-1.6532817163924198
14000	-6707.211102571131	11.3	-6704.5944872209075	-2.6166153502233596
15000	-6704.906725271453	11.8	-6702.813973554231	-2.092751717222213
16000	-6705.030839138225	12.9	-6703.154358525735	-1.8764806124900582
17000	-6705.175690896892	12.4	-6703.766348095624	-1.409342801267076
18000	-6705.172990902526	12.3	-6702.654113840795	-2.5188770617312604
19000	-6707.241782291755	17.6	-6705.184359342075	-2.057422949679453
20000	-6705.1131205900165	19.0	-6702.987365233966	-2.1257553560506652
21000	-6705.861340154345	20.0	-6703.951915645545	-1.9094245088002642
22000	-6706.6550080664765	21.0	-6704.769044394605	-1.8859636718713526
23000	-6709.115438490062	20.0	-6704.068133576038	-5.047304914023958
24000	-6704.2604270427055	23.0	-6702.377325028823	-1.8831020138824985
25000	-6705.654556945445	24.0	-6703.211157969364	-2.4433989760809487
26000	-6706.526187927592	25.0	-6704.099109910627	-2.427078016965498
27000	-6708.481770808892	26.0	-6706.792197630845	-1.6895731780473398
28000	-6707.223669813728	27.0	-6705.34104048753	-1.8826293261976659
29000	-6706.554591208692	26.8	-6704.197142868385	-2.357448340307312
30000	-6707.145601128097	24.4	-6705.178802392961	-1.966798735135821
31000	-6706.65686033959	23.2	-6703.678010559307	-2.9788497802826073
32000	-6705.556160679155	25.8	-6703.705474543297	-1.8506861358586653
33000	-6706.11812534552	26.8	-6703.258849907559	-2.8592754379607843
34000	-6706.346754050406	27.5	-6704.014048886348	-2.3327051640578493
35000	-6704.945302307964	28.6	-6703.2731977990925	-1.6721045088712425
36000	-6710.391804684103	34.0	-6709.010448013939	-1.3813566701638318
37000	-6707.222447067585	35.0	-6705.84778016949	-1.3746668980946808
38000	-6710.174306844552	23.9	-6708.02776585312	-2.1465409914318028
39000	-6705.873047146387	23.0	-6704.134771763727	-1.7382753826596944
40000	-6707.364090523744	21.7	-6705.269229215772	-2.0948613079726837
41000	-6708.7469751204535	19.4	-6706.464948407836	-2.2820267126168052
42000	-6705.678892186088	21.3	-6703.995306971538	-1.6835852145499035
43000	-6706.494016088546	21.9	-6704.6423298786995	-1.8516862098465765
44000	-6703.930866687056	25.1	-6702.372644408756	-1.5582222782991888
45000	-6706.7399604513585	25.8	-6705.235891002081	-1.504069449276956
46000	-6705.944284944765	26.0	-6703.847452617359	-2.0968323274066067
47000	-6707.233557020872	27.6	-6705.212012989437	-2.021544031433721
48000	-6711.205335678502	30.4	-6706.86738741166	-4.337948266841816
49000	-6704.413299351904	36.3	-6702.556142079509	-1.8571572723947143
50000	-6705.986396592221	37.8	-6703.283964593866	-2.7024319983553875
51000	-6707.41672105089	40.1	-6704.832992105275	-2.5837289456157
52000	-6707.93723112308	40.8	-6706.381098529457	-1.556132593623587
53000	-6706.699814624664	41.3	-6705.581114676809	-1.1186999478547497
54000	-6705.825848622877	42.8	-6704.1621990666345	-1.6636495562428337
55000	-6706.685404709864	43.8	-6704.344455169495	-2.340949540369441
56000	-6705.755693204236	44.4	-6702.951590069914	-2.8041031343215463
57000	-6707.608028864571	45.8	-6705.296639221713	-2.3113896428577574
58000	-6704.321469496667	47.2	-6702.484924125009	-1.8365453716588953
59000	-6706.783215952381	51.4	-6704.508585165208	-2.2746307871728226
60000	-6709.769684830293	55.0	-6707.75010985778	-2.019574972512686
61000	-6705.674339758683	56.0	-6703.833731192653	-1.8406085660296148
62000	-6709.2457406213225	57.0	-6707.140077640513	-2.1056629808099854
63000	-6706.195034355058	58.0	-6704.301508271214	-1.8935260838441268
64000	-6706.650293050587	59.0	-6704.155534189234	-2.494758861353185
65000	-6706.523335964364	60.0	-6703.694367211135	-2.8289687532292236
66000	-6706.121046675571	61.0	-6704.07632071383	-2.0447259617410283
67000	-6706.50346715561	62.0	-6704.718895219618	-1.7845719359922918
68000	-6705.715668034687	63.0	-6704.495770259067	-1.2198977756194562
69000	-6706.668626811241	63.0	-6704.5913666739825	-2.0772601372581354
70000	-6705.243211765112	64.0	-6703.2865390590805	-1.9566727060318503
71000	-6706.042060283903	65.0	-6704.244669240037	-1.7973910438660479
72000	-6706.321485497432	66.0	-6704.60359206683	-1.7178934306024187
