#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:twin_alignment_11_evidence" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:twin_alignment_11_evidence" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:twin_alignment_11_evidence" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.twin_alignment_11_evidence" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:twin_alignment_11_evidence" name="distribution" x="@birthRate.t:twin_alignment_11_evidence">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="kappa1Prior.s:twin_alignment_11_evidence" name="distribution">
#            <parameter id="kappa1.s:twin_alignment_11_evidence" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.1" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="kappa2Prior.s:twin_alignment_11_evidence" name="distribution">
#            <parameter id="kappa2.s:twin_alignment_11_evidence" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.3" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@twin_alignment_11_evidence" id="treeLikelihood.twin_alignment_11_evidence" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:twin_alignment_11_evidence">
#            <siteModel id="SiteModel.s:twin_alignment_11_evidence" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:twin_alignment_11_evidence" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:twin_alignment_11_evidence" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:twin_alignment_11_evidence" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="tn93.s:twin_alignment_11_evidence" kappa1="@kappa1.s:twin_alignment_11_evidence" kappa2="@kappa2.s:twin_alignment_11_evidence" spec="beast.evolution.substitutionmodel.TN93">
#                    <frequencies id="estimatedFreqs.s:twin_alignment_11_evidence" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:twin_alignment_11_evidence" lower="0.0" name="frequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:twin_alignment_11_evidence" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:twin_alignment_11_evidence" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	NSlikelihood	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa1	kappa2	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	YuleModel	birthRate
0	-18139.92047081194	-18121.289782909145	-18139.92047081194	18.63068790279542	-18139.92047081194	0.014295198294168355	1.4605085600954453	3.9766409815862573	0.23263916867401405	0.2598378841838034	0.2544796739866691	0.2530432731555135	22.843879424765248	172.20471163966351
1	-17610.487253484665	-17591.7480465399	-17610.487253484665	18.739206944765755	-17610.487253484665	0.014221872954074512	2.930632006338046	3.59251670287739	0.2486291079482956	0.2636447525904127	0.2537123863759008	0.23401375308539094	23.40413556433986	162.86972743723823
2	-16322.037713746466	-16308.362388586476	-16322.037713746466	13.675325159989743	-16322.037713746466	0.015000343792235107	3.6627474944356924	4.543530933848017	0.2569221748192174	0.2553516857194909	0.2537123863759008	0.23401375308539094	18.88431087053663	148.51466042612657
3	-13487.230400028613	-13470.612184030104	-13487.230400028613	16.61821599850982	-13487.230400028613	0.017098967075242985	3.9575231009703	3.0702514056882757	0.26395284832991966	0.2553516857194909	0.24980956019405118	0.2308859057565383	21.449650609597718	96.99104633872683
4	-11246.006736153748	-11242.875402091551	-11246.006736153748	3.1313340621972663	-11246.006736153748	0.14919008192717728	4.052508515244602	2.8999619513041193	0.26768118150930686	0.24758561542702812	0.26221149574345426	0.22252170732021084	7.931901550346254	7.152828733228393
5	-10503.118231130129	-10505.86986765441	-10503.118231130129	-2.7516365242810177	-10503.118231130129	0.29273915545086876	5.280994017675314	4.032972483250558	0.2673784394652934	0.24095078775687834	0.25622350283681994	0.23544726994100842	2.7820836055563456	3.387604883864951
6	-8605.368688901855	-8615.647633556622	-8605.368688901855	-10.278944654766804	-8605.368688901855	0.54730785499015	9.568001030812491	10.27884704540091	0.2788508431086605	0.2279477999393593	0.26050299284325923	0.23269836410872108	-2.333382936128042	3.128030678728875
7	-7879.833935181183	-7890.182402391268	-7879.833935181183	-10.348467210084786	-7879.833935181183	1.295102130093654	11.020949311260246	7.159662720805372	0.27361058982165676	0.2347360471931666	0.260781508928123	0.23087185405705368	-2.768888743391054	1.945978843084804
8	-7619.912140983086	-7633.744829070708	-7619.912140983086	-13.832688087622403	-7619.912140983086	1.6552944988088656	14.461024427040659	3.4962051272613426	0.2971824973295372	0.24071747585992714	0.2511055981638117	0.21099442864672396	-6.711113340882843	1.7118344010265896
9	-7477.2703908356225	-7485.750722201244	-7477.2703908356225	-8.480331365621359	-7477.2703908356225	0.9302124697163682	5.487300500593091	2.2527143726489824	0.30348105650562157	0.23621913051655896	0.23969147005554584	0.22060834292227366	-3.5124077430892457	2.061006435503548
10	-7260.214554986806	-7271.095626085528	-7260.214554986806	-10.881071098722188	-7260.214554986806	1.6037400015055905	5.930489244967302	1.8611707049991528	0.30133439097600434	0.22028651351565096	0.2457765780724644	0.23260251743588034	-5.954938002230588	2.2155325497825413
11	-7189.473628023395	-7192.229745085816	-7189.473628023395	-2.7561170624213513	-7189.473628023395	0.5375741318507246	1.814501410606921	2.005165817594206	0.30276954338328665	0.22536745366709673	0.23926048551373627	0.23260251743588034	0.9014889670498913	3.777627965095198
12	-7078.893520991752	-7083.054809875776	-7078.893520991752	-4.1612888840248425	-7078.893520991752	0.6823233437186603	1.0390544962666488	1.554888567074307	0.30527981570371404	0.2143689333980416	0.2443320797869145	0.2360191711113299	-1.001609657057088	3.392036588792848
13	-7061.567126338953	-7067.220498915473	-7061.567126338953	-5.653372576519993	-7061.567126338953	0.6830310955081277	0.3296271271769273	1.0535205690371396	0.31310019978720655	0.22064075620428905	0.24382599229437538	0.22243305171412908	-2.7149695095582906	3.716714187371943
14	-7021.039925633652	-7024.898530650237	-7021.039925633652	-3.8586050165853134	-7021.039925633652	0.5587859259274638	0.22183925967522955	1.1921492201482298	0.31743707583251096	0.22296695658489607	0.23754469700923012	0.2220512705733629	-0.6777909059840574	1.5549050055805058
