Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa1	kappa2	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	YuleModel	birthRate	
0	-6713.98759434922	-6708.447845659777	-5.53974868944233	-6708.447845659777	0.9350161859073794	0.8629110266934215	1.0379941016098555	0.2538125214162125	0.25136511928949273	0.26582242511503074	0.22899993417926415	-2.6478381503237456	3.1656334567929405	
1	-6713.98759434922	-6708.447845659777	-5.53974868944233	-6708.447845659777	0.9350161859073794	0.8629110266934215	1.0379941016098555	0.2538125214162125	0.25136511928949273	0.26582242511503074	0.22899993417926415	-2.6478381503237456	3.1656334567929405	
2	-6711.0638184570225	-6705.27439221648	-5.789426240542413	-6705.27439221648	0.9932022102720532	0.8122754471611142	0.9972414100452406	0.2500206655474453	0.2512543908603643	0.27107619147041634	0.22764875212177424	-2.9272705032245367	1.0324752658349226	
3	-6711.0638184570225	-6705.27439221648	-5.789426240542413	-6705.27439221648	0.9932022102720532	0.8122754471611142	0.9972414100452406	0.2500206655474453	0.2512543908603643	0.27107619147041634	0.22764875212177424	-2.9272705032245367	1.0324752658349226	
4	-6710.4635674653655	-6705.107456012713	-5.3561114526527	-6705.107456012713	0.8910657176144666	0.716793394059169	1.075109679239187	0.2524705133244792	0.2512543908603643	0.27107619147041634	0.22519890434474035	-2.488587468732601	1.15133077569579	
5	-6710.4635674653655	-6705.107456012713	-5.3561114526527	-6705.107456012713	0.8910657176144666	0.716793394059169	1.075109679239187	0.2524705133244792	0.2512543908603643	0.27107619147041634	0.22519890434474035	-2.488587468732601	1.15133077569579	
6	-6707.87607120033	-6703.013088519203	-4.862982681127883	-6703.013088519203	0.9216882027118949	0.8301163731233587	1.2037711025164608	0.26905430920836826	0.2576867906105829	0.256888776270635	0.21637012391041405	-1.9169816577257635	2.7401551922988543	
7	-6707.87607120033	-6703.013088519203	-4.862982681127883	-6703.013088519203	0.9216882027118949	0.8301163731233587	1.2037711025164608	0.26905430920836826	0.2576867906105829	0.256888776270635	0.21637012391041405	-1.9169816577257635	2.7401551922988543	
8	-6705.75858231724	-6699.901335435007	-5.857246882233158	-6699.901335435007	0.9246604612444665	0.8423486289266963	1.2037711025164608	0.2571676304647298	0.24867721728158562	0.2561737459422812	0.23798140631140352	-2.907654376405301	3.629735231394628	
9	-6704.861448462906	-6699.7115470314	-5.149901431506336	-6699.7115470314	0.9821348916897371	0.8423486289266963	1.2037711025164608	0.25802792616263026	0.24781692158368515	0.2654800761636976	0.22867507608998708	-2.2003089256784794	1.4056670562018043	
