"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight","ess"
"1","GTR","relaxed_log_normal","birth_death",-6843.1993274683,7.74100526623168,2.15420975654567e-17,14.8090517208878
"2","GTR","relaxed_log_normal","yule",-6827.5502385347,5.70971902539809,0.000000000134772399042659,8.59599765605928
"3","GTR","strict","birth_death",-6841.00061389318,7.12154742326295,1.94167778342794e-16,10.0907094728793
"4","GTR","strict","yule",-6844.32433952935,6.74385625432601,6.99361077592555e-18,6.2294444725958
"5","HKY","relaxed_log_normal","birth_death",-6829.43304717855,6.38010077895669,2.05072560829768e-11,6.80557170052103
"6","HKY","relaxed_log_normal","yule",-6827.44606853475,6.29967893306424,0.000000000149568939838885,7.89866648889264
"7","HKY","strict","birth_death",-6813.63021851234,4.82319314868217,0.000149619721794977,6.12420461475939
"8","HKY","strict","yule",-6824.94519227098,5.73107221259309,0.0000000018237200661699,5.59331970689919
"9","JC69","relaxed_log_normal","birth_death",-6804.8231444539,3.99697845994439,0.999660445173803,6.33445976879532
"10","JC69","relaxed_log_normal","yule",-6813.5513100064,4.80865952625057,0.000161904295634391,5.97451170193126
"11","JC69","strict","birth_death",-6817.62677076873,5.53669485271137,0.00000274984523152017,6.29999876514516
"12","TN93","relaxed_log_normal","birth_death",-6815.41218444413,4.5635031054106,0.0000251820378149541,8.18063912926303
"13","TN93","relaxed_log_normal","yule",-6821.10578733611,5.13294296526349,0.0000000847989653991035,10.3386090040817
"14","TN93","strict","birth_death",-6823.06165832353,4.56524427693353,0.000000011994069926209,7.29621199633103
"15","TN93","strict","yule",-6831.03883974581,7.53531160283508,4.11642970632266e-12,10.5654751763106
